run,event,rec_particle_pid_list,rec_particle_charge_list,rec_particle_status_list,rec_particle_px_list,rec_particle_py_list,rec_particle_pz_list,rec_particle_p_list,rec_particle_theta_deg_list,rec_particle_vx_list,rec_particle_vy_list,rec_particle_vz_list,mc_lund_pid_list,mc_lund_px_list,mc_lund_py_list,mc_lund_pz_list,mc_lund_p_list,mc_lund_theta_deg_list,mc_lund_vx_list,mc_lund_vy_list,mc_lund_vz_list,rec_track_pindex_detector_list,rec_traj_pindex_detector_layer_list,rec_scintillator_pindex_detector_component_list
11,2773,"11,211,211","-1,1,1","-2231,4100,2230","-0.55982131,-0.93798983,-0.68358606","-1.78623986,-0.09397200,0.03636534","6.14671326,1.20589948,0.85970265","6.42542890,1.53063686,1.09895449","16.93751704,38.01573438,38.52914503","0.42590609,-0.00076820,0.02812345","-0.11607630,0.00766789,-0.00592768","-5.27096224,-5.05692053,-2.31936598","11,211","-0.54628599,-0.96160501","-1.76914799,-0.09482800","6.08774614,1.24173498","6.36309407,1.57339833","16.91698738,37.88865234","0.00000000,0.00000000","0.00000000,0.00000000","-1.97290301,-1.97290301","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:12,0:12:31,1:4:27,2:12:18,2:12:46"
11,4127,"11,0,211,22","-1,1,1,0","-2231,4000,2230,2010","-0.68997252,0.58836448,0.50603026,-0.05998581","-0.22962350,0.56955945,0.42859322,-0.01478309","7.34001303,1.15062094,0.83226484,0.60788029","7.37594606,1.41226742,1.06415391,0.61101169","5.65785958,35.43902558,38.54760436,5.80320267","-0.04044171,-0.01150229,0.54138839,-0.04044171","0.13077292,0.01188206,-0.67063618,0.13077292","-3.34448314,-3.21167636,4.91648293,-3.34448314","11,211","-0.75154698,0.59214902","-0.24226101,0.57665199","7.96162891,1.15529299","8.00069048,1.42051746","5.66403068,35.58134631","0.00000000,0.00000000","0.00000000,0.00000000","-2.67499590,-2.67499590","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,0:18:1,0:18:2,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:4,0:12:12,2:12:20,2:12:52"
11,413,"11,2212,211,2112","-1,1,1,0","-2231,4100,2220,2010","-0.11028863,-0.71871704,-0.66590077,-0.00000000","-1.05719900,-0.35447010,-0.29905790,-0.00000000","6.59389877,0.99882025,0.91250241,0.00000000","6.67902196,1.28056438,1.16855471,0.00000000","9.15730048,38.74085221,38.65867134,nan","0.02355527,-0.00015681,-0.12532268,0.02355527","0.00159089,0.00031795,0.34942454,0.00159089","-4.28314734,-4.96309233,-5.21408129,-4.28314734","11,211","-0.10812000,-0.71866298","-1.04788196,-0.35457200","6.56097603,1.00834298","6.64500963,1.28800363","9.12168467,38.47563772","0.00000000,0.00000000","0.00000000,0.00000000","-6.47212601,-6.47212601","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:6,0:12:18,1:4:30,2:12:21,2:12:54"
11,1268,"11,211,0,2112,2112","-1,1,1,0,0","-2231,2230,4000,2010,2010","-1.47399223,-0.45494738,-0.42678866,-0.41951981,-0.68686360","1.63491797,0.44166696,0.42237085,0.45316517,0.03501128","8.51065826,0.80584896,0.59614289,2.41318941,1.32430601","8.79072886,1.02539717,0.84612767,2.49095136,1.49224455","14.50169566,38.19697131,45.20645229,14.35406497,27.44432490","-0.28056419,-0.24292187,-0.00057594,-0.28056419,-0.28056419","-0.27243578,-0.28096423,-0.00058197,-0.27243578,-0.27243578","-1.66723680,-1.31063080,2.08710241,-1.66723680,-1.66723680","11,211","-1.48995399,-0.46004799","1.64126897,0.44974601","8.56643105,0.81596702","8.84858563,1.03909471","14.50791787,38.25459945","0.00000000,0.00000000","0.00000000,0.00000000","0.75272399,0.75272399","0:6,1:6,2:5","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:15:1,1:8:1,1:8:2,1:8:3,1:8:4,1:8:5,1:8:6,1:6:6,1:6:18,1:6:36,1:12:3,1:12:2,1:12:1,1:16:1,1:7:1,1:7:4,1:7:7,2:5:1,2:5:3,2:5:5,2:5:7,2:5:12,2:4:1,2:3:1,2:3:2,2:3:3","0:12:9,0:12:26,1:12:19,1:12:49"
11,1006,"11,321,211,22,2112","-1,1,1,0,0","-2231,4100,2200,2010,2010","-2.06257772,-0.75397855,-0.58298832,-0.07958317,-0.00000000","-0.45967150,0.41342553,0.44253990,0.01005310,0.00000000","6.35244799,0.97397190,0.93230742,0.13633557,0.00000000","6.69470837,1.29924039,1.18529071,0.15818322,0.00000000","18.40000520,41.44017473,38.13440594,30.47123539,nan","0.08874461,0.00856652,-2.84788394,0.08874461,0.08874461","-0.30132720,0.01562306,-3.78674674,-0.30132720,-0.30132720","-1.54807651,-1.27738905,-4.57280016,-1.54807651,-1.54807651","11,211","-2.06038690,-0.74571198","-0.46381000,0.41309300","6.35288811,0.96657503","6.69473683,1.28879768","18.38880081,41.41118385","0.00000000,0.00000000","0.00000000,0.00000000","0.88376302,0.88376302","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,0:18:4,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:13,0:12:34,1:4:22,2:12:21,2:12:55"
11,3587,"11,2212,211,211,22,2112","-1,1,1,1,0,0","-2221,4100,4100,2230,2210,2220","0.07780449,0.81882811,-0.06858766,-0.05002369,0.02145937,-0.00000000","0.13512844,0.07740130,0.63088059,0.61774099,0.02643902,-0.00000000","1.43911469,0.91753536,0.83780718,0.79037374,0.26538485,0.00000000","1.44753733,1.23221004,1.05101639,1.00438884,0.26756055,0.00000000","6.18383220,41.87303332,37.14214881,38.10138812,7.31173223,nan","0.57766908,0.00004470,0.02854224,-0.80013335,0.57766908,0.57766908","-0.34024909,-0.00047289,0.00310304,-0.10746678,-0.34024909,-0.34024909","8.93342209,-3.60777545,-4.06821871,-2.98463750,8.93342209,8.93342209","11,211","0.16430800,0.37097400","0.22515900,0.27759299","2.65276909,3.02865410","2.66737278,3.06389054","5.99826154,8.69789406","0.00000000,0.00000000","0.00000000,0.00000000","-0.04179900,-0.04179900","0:6,1:5,2:5,3:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:5:1,2:5:3,2:5:5,2:5:7,2:5:12,2:4:1,2:3:1,2:3:2,2:3:3,3:15:1,3:8:1,3:8:2,3:8:3,3:8:4,3:8:5,3:8:6,3:6:6,3:6:18,3:6:36,3:12:3,3:12:2,3:12:1,3:16:1,3:7:1,3:7:4,3:7:7","0:12:14,0:12:37,1:4:3,2:4:16,3:12:19,3:12:49,4:12:1,4:12:5,5:12:15,5:12:39"
11,4470,"11,211,211,22","-1,1,1,0","-2231,4100,2030,2010","1.09893227,0.66202426,0.54880232,0.08933924","-0.07308459,-0.35418445,-0.36304942,-0.01543543","4.78852510,0.93024898,0.83173048,0.38690093","4.91354924,1.19544381,1.06054913,0.39738153","12.95275382,38.90740114,38.34908479,13.18821664","-0.00665753,0.00478491,1.40527308,-0.00665753","0.06330552,0.00894372,2.17198896,0.06330552","-2.73049092,-2.68293786,-1.91301763,-2.73049092","11,211","1.20889699,0.66240501","-0.09325600,-0.35248199","5.27875519,0.94364899","5.41621500,1.20561079","12.93601087,38.49021532","0.00000000,0.00000000","0.00000000,0.00000000","-4.62725019,-4.62725019","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:9,0:12:26,1:4:47"
11,1294,"11,0,211,2112,2112","-1,1,1,0,0","-2231,4000,2230,2010,2010","-0.90355766,-0.12151682,-0.06523520,-0.48573998,-0.00000000","0.86274618,0.76836056,0.65343088,0.38987800,0.00000000","4.71291447,1.11960876,0.83784217,1.81194007,0.00000000","4.87568561,1.36332977,1.06452198,1.91600496,0.00000000","14.84650306,34.79178119,38.08843724,18.97042095,nan","0.20320280,-0.00256236,2.21796083,0.20320280,0.20320280","0.18799528,-0.00040524,0.18783133,0.18799528,0.18799528","-3.05242872,-3.70359254,3.81498861,-3.05242872,-3.05242872","11,211","-0.90195698,-0.12117700","0.86993498,0.76579100","4.72760296,1.09440506","4.89086321,1.34120921","14.84569920,35.31524076","0.00000000,0.00000000","0.00000000,0.00000000","-1.52238595,-1.52238595","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:11,0:12:29,2:12:19,2:12:50"
11,3418,"11,0,211","-1,1,1","-2231,4000,2120","-1.30448973,0.22176707,0.20548619","-0.25231424,-0.72149289,-0.71601582","4.05539036,0.95005912,0.93233818","4.26749890,1.21340222,1.19338079","18.14034090,38.46656399,38.62410692","-0.01457345,0.01423684,-0.13802627","0.15784855,0.00437601,-0.01085828","-1.31573939,-1.07854462,-0.36540869","11,211","-1.30918097,0.22383700","-0.24878199,-0.72255999","4.05300713,0.96087903","4.26646388,1.22290002","18.20061579,38.21101296","0.00000000,0.00000000","0.00000000,0.00000000","-0.35301200,-0.35301200","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,0:18:4,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:13,0:12:35,2:12:54"
11,294,"11,211,211,2112","-1,1,1,0","-2231,4100,2200,2010","-1.63183558,-0.11849402,-0.14501703,0.22405078","-0.76437056,-0.69028908,-0.61268580,-0.45065600","7.32220840,0.89552194,0.78873008,0.84803492","7.54068204,1.13688143,1.00921206,0.98613021","13.82566419,38.02887497,38.59907161,30.68763717","-0.19141553,0.00338876,0.32749981,-0.19141553","0.43881530,-0.00058171,-0.04868919,0.43881530","-4.36302376,-5.29001188,-4.64820862,-4.36302376","11,211","-1.64087796,-0.11619900","-0.75915200,-0.68139499","7.34951496,0.88677800","7.56863015,1.12435607","13.82033566,37.93594536","0.00000000,0.00000000","0.00000000,0.00000000","-2.81819391,-2.81819391","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,0:18:3,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:9,0:12:24,1:4:37,2:12:19,2:12:49"
