run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,4127,0.50603,0.428593,0.832265,0.592149,0.576652,1.15529,35.5813,38.5476,0.541388,-0.670636,4.91648,0,0,-2.675,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,0,211,22"
11,413,-0.665901,-0.299058,0.912502,-0.718663,-0.354572,1.00834,38.4756,38.6587,-0.125323,0.349425,-5.21408,0,0,-6.47213,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,2212,211,2112"
11,1268,-0.454947,0.441667,0.805849,-0.460048,0.449746,0.815967,38.2546,38.197,-0.242922,-0.280964,-1.31063,0,0,0.752724,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,211,0,2112,2112"
11,1006,-0.582988,0.44254,0.932307,-0.745712,0.413093,0.966575,41.4112,38.1344,-2.84788,-3.78675,-4.5728,0,0,0.883763,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:55","11,321,211,22,2112"
11,1294,-0.0652352,0.653431,0.837842,-0.121177,0.765791,1.09441,35.3152,38.0884,2.21796,0.187831,3.81499,0,0,-1.52239,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,0,211,2112,2112"
11,2329,-0.412716,-0.47932,0.805631,-0.506751,-2.29002,2.99187,38.0939,38.1363,8.5015,-7.26967,4.93862,0,0,-3.73463,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:23,12:60","11,0,2212,211"
11,3418,0.205486,-0.716016,0.932338,0.223837,-0.72256,0.960879,38.211,38.6241,-0.138026,-0.0108583,-0.365409,0,0,-0.353012,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:54","11,0,211"
11,875,0.578981,-0.382819,0.88577,0.62977,-0.393024,1.00588,36.4275,38.0825,-1.03759,-1.52488,1.71421,0,0,-4.74493,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211"
11,1650,0.153023,0.616865,0.806859,0.150576,0.639257,0.841725,37.963,38.2275,0.279844,-0.0898245,-1.52021,0,0,-0.191277,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,0,211"
11,4728,0.427103,0.51083,0.851211,0.42379,0.518044,0.868849,37.6083,38.0341,0.630435,-0.551292,-1.74845,0,0,-3.30357,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,0,211,2112"
11,1941,-0.5299,-0.427125,0.859709,-1.44876,-3.00999,3.12338,46.9238,38.3678,0.127316,-0.11247,-11.5901,0,0,-3.10315,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,45,211,2112,2112,2112,2112"
11,4735,-0.618933,0.356773,0.914212,-0.61827,0.362208,0.926433,37.7204,38.0054,0.22207,0.348567,-1.5511,0,0,-5.04627,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:53","11,0,211"
11,1270,-0.38985,0.560429,0.856873,-0.38977,0.563835,0.858693,38.5982,38.545,0.391328,0.223663,-1.0635,0,0,-3.22257,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,211,0"
11,568,0.44919,0.542217,0.894397,0.453747,0.564411,0.931409,37.8657,38.2115,-0.211212,0.12498,-1.30025,0,0,1.05748,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:50","11,0,211"
