run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,875,0.578981,-0.382819,0.88577,0.62977,-0.393024,1.00588,36.4275,38.0825,-1.03759,-1.52488,1.71421,0,0,-4.74493,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211"
11,1366,-0.214315,-0.651697,0.867934,-0.208104,-0.657358,0.867044,38.4933,38.3235,0.547718,-0.151739,-0.81108,0,0,1.2458,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,211"
11,1307,-0.204904,0.645397,0.844645,-0.200183,0.653974,1.11583,31.5054,38.7188,13.3865,4.23733,15.838,0,0,-2.1327,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:41","11,211"
11,4722,-0.523266,0.333358,0.791556,-0.521255,0.336688,0.800391,37.7861,38.0898,0.0535194,0.00965238,-0.486925,0,0,-2.87476,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,211,22,22,22,22,2112"
11,1621,0.653599,0.204886,0.854873,0.690706,0.249568,0.925031,38.4471,38.7032,-0.32223,0.922633,-3.46939,0,0,1.93802,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,2112,22"
11,3098,-0.612174,0.403496,0.918983,-0.74626,0.341525,0.989688,39.6672,38.5838,-1.47529,-2.29904,-1.8024,0,0,-7.20526,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:22,12:57","11,211,22"
11,3672,-0.0774588,0.688575,0.886483,0.672907,0.947348,1.39392,39.8156,38.0129,6.05047,0.659366,-2.30711,0,0,-5.89772,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:46","11,211,2112,2112,22"
11,3490,-0.51419,0.422736,0.846281,-0.528172,0.428355,0.862766,38.2455,38.1874,-0.195237,-0.301638,-1.55253,0,0,-0.086829,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20","11,211,2112,22"
11,3101,0.232454,0.669829,0.880142,0.226539,0.715287,0.93518,38.7404,38.8539,0.31645,-0.126563,-3.93426,0,0,1.94405,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,22,22"
11,1921,-0.0932873,-0.685981,0.856758,-0.141208,-0.593074,0.956308,32.5178,38.9396,-1.33817,0.228133,1.34069,0,0,-0.642389,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,22"
11,2486,-0.312834,0.640572,0.887138,-0.7014,0.557964,1.00336,41.7731,38.7844,-10.5632,-5.21623,1.92752,0,0,-3.16913,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:23,12:60","11,211,2112"
11,1418,0.578872,-0.426912,0.904669,3.40444,-2.17038,5.31071,37.2436,38.4869,-8.86374,-11.989,-9.19015,0,0,-6.01059,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:39","11,211,2112,2112,2112,22,22"
11,3916,-0.491499,0.43673,0.82745,-0.495297,0.442341,0.833839,38.5337,38.4709,0.179959,0.144577,-0.69607,0,0,-4.71676,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,2112"
11,3022,-0.437583,0.527948,0.849386,-0.608485,0.536067,0.940437,40.7712,38.9143,-2.46984,-2.07192,-1.33579,0,0,-2.55429,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,22"
11,3307,0.689111,0.22605,0.899351,0.718548,0.252809,0.960095,38.4279,38.8828,0.434222,-1.38043,-1.52028,0,0,-5.95295,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211"
11,2249,-0.487742,0.449304,0.819104,-0.529137,0.471199,0.90889,37.9384,38.9937,-0.230043,-0.317953,-3.74934,0,0,1.075,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,22"
11,2190,-0.517692,0.442515,0.858448,-0.544034,0.457731,0.920417,37.6844,38.4266,0.505816,0.553787,-2.22727,0,0,-5.38016,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,22"
11,544,0.669334,0.223867,0.877161,0.75174,0.269252,1.10262,35.9117,38.8208,0.712085,-2.18375,6.09379,0,0,-5.98013,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,2112"
11,4947,-0.563828,0.482045,0.934696,-0.656921,0.540732,1.00018,40.3876,38.4365,2.92632,3.39598,-11.2156,0,0,-4.18259,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,211,2112,22"
11,2196,0.702596,-0.0921578,0.893117,0.571047,-0.070642,0.987652,30.2248,38.4291,0.044165,0.52097,-0.0351382,0,0,-3.58826,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,211"
11,3334,-0.684909,0.0143588,0.851839,-0.776605,0.004981,1.07735,35.7865,38.8066,0.0801202,2.89207,8.59206,0,0,-3.15826,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,211"
11,2677,0.640142,0.22183,0.84392,0.705094,0.27217,0.904414,39.8848,38.757,-0.221327,0.507677,-3.48276,0,0,-1.38169,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,2112,22"
11,3273,0.686298,0.205537,0.901403,0.862113,0.326185,1.07194,40.6921,38.4769,0.264197,-1.0391,-11.1501,0,0,-1.68092,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:50","11,211,2112,22"
11,4009,-0.455715,0.414948,0.788586,-0.576642,0.47215,0.875247,40.4146,38.0097,1.21103,1.27034,-10.034,0,0,-3.12985,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:45","11,211,2112,22"
11,2622,0.072944,-0.67088,0.850731,0.216263,-0.8951,1.28727,35.5782,38.4228,-2.36459,-0.235524,2.09902,0,0,-4.06704,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:51","11,211"
11,484,-0.528172,-0.340345,0.804194,-0.087456,-0.509091,0.913324,29.4912,38.0012,6.7835,-10.4822,14.2616,0,0,-4.35527,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:1","11,211,2112"
11,2820,-0.337751,0.585388,0.851952,-0.575282,0.748287,1.3986,34.014,38.4243,5.09988,2.90609,4.66441,0,0,-1.87366,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:41","11,211"
11,851,0.65172,-0.0408198,0.823096,1.10146,-0.671538,1.98653,32.9991,38.4265,-0.440426,-6.53527,4.13175,0,0,-2.94931,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:40","11,211"
11,1139,-0.221879,-0.588293,0.802924,-0.211815,-0.64785,0.870387,38.0644,38.0634,0.124052,-0.0251176,-3.63833,0,0,-1.04301,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,211,22"
11,2996,-0.564167,0.48229,0.939082,-0.607864,0.494299,1.00853,37.8419,38.3217,-0.527819,-0.643336,-1.45935,0,0,-6.22151,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,211,2112,2112,22"
11,1576,-0.699514,-0.16592,0.910204,-0.683604,-0.102331,1.01416,34.2771,38.3034,-0.123165,0.647242,-1.60418,0,0,-1.59627,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,211,2112,2112,22"
11,3363,-0.490991,0.463806,0.860194,-0.496099,0.465642,0.871687,37.9738,38.1387,0.35461,0.315958,-0.524617,0,0,-6.25419,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,211"
11,4553,0.740992,-0.0817074,0.933084,0.71087,-0.068467,0.972652,36.2876,38.6229,0.140518,1.47543,-1.68578,0,0,-2.53604,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,22"
11,4601,-0.335169,-0.544821,0.795661,-0.082535,-0.435307,2.33016,10.7658,38.7972,1.21901,-0.697129,11.806,0,0,-0.814276,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,211,2112,2112,2112,2112"
11,4920,-0.642706,0.165014,0.841318,-2.42783,-0.534592,3.91205,32.4347,38.263,-0.948835,-3.77466,1.71887,0,0,-3.50421,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,211,2112,22,2112,22,22"
11,4076,0.251954,0.694114,0.926814,0.237405,0.760932,0.99445,38.7141,38.5457,-0.956739,0.328186,-2.72303,0,0,-0.044337,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,2112,22"
11,1732,-0.414783,0.510265,0.825111,-0.447554,0.505533,0.87059,37.7951,38.5535,0.683011,0.516904,-2.27755,0,0,-3.16444,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:48","11,211,22,22"
11,3417,0.270449,-0.616419,0.840682,0.244488,-0.610663,0.914807,35.7178,38.6844,-4.61464,-1.98091,2.75554,0,0,-6.8166,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:17,12:44","11,211,2112"
11,3231,-0.52761,0.497141,0.907387,-0.598982,0.508467,1.00698,37.963,38.622,-0.272383,-0.34195,-4.52656,0,0,-1.8627,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:53","11,211,22"
11,150,-0.66941,0.196143,0.872793,-0.583096,0.191449,0.988664,31.8303,38.6326,4.13524,14.0094,8.28345,0,0,3.80845,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:40","11,211"
11,3827,0.636978,0.0693913,0.793457,0.827959,0.205654,1.24021,34.5233,38.9222,0.536259,-5.14953,4.27085,0,0,-1.93729,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:16,12:43","11,211"
11,2684,-0.520026,0.502521,0.911543,-0.591161,0.48902,0.968557,38.3833,38.4261,0.76147,0.749376,-3.50451,0,0,-0.835558,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,22"
11,4907,0.619929,0.187087,0.815773,0.659037,0.226536,0.893234,37.9607,38.4418,0.122514,-0.470187,-4.12985,0,0,-5.23023,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:18,12:49","11,211,2112,2112,22,22"
